llm_model,dataset,attack,classifier,attack_dir,prompt_hash,backend,n_total,n_parse_failed_orig,n_parse_failed_adv,n_classifier_success,llm_clean_acc,llm_adv_acc,robustness_gap,llm_consistency,llm_transfer_asr,n_transfer_eligible,wall_time_sec,output_dir
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,bert_attack,sbert_mpnet,results/bert_attack/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,0,1,2009,0.7544,0.6998699869986998,0.054530013001300115,0.886988698869887,0.255758538522637,1259,5897.651071310043,results/llm/mamay__bert_attack__news__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,bert_attack,ukr_roberta,results/bert_attack/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,0,1,1403,0.7544,0.701970197019702,0.05242980298029798,0.877987798779878,0.24791418355184744,839,5886.624120950699,results/llm/mamay__bert_attack__news__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,bert_attack,xlmr_base,results/bert_attack/news__xlmr_base,b63b607e0512,cuda_4bit,10000,0,1,1863,0.7544,0.6996699669966997,0.05473003300330026,0.8866886688668867,0.2774822695035461,1128,5882.110596656799,results/llm/mamay__bert_attack__news__xlmr_base
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,bert_attack,sbert_mpnet,results/bert_attack/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,1117,0.44979015252328797,0.3371890674582864,0.11260108506500155,0.8258777766403931,0.3843137254901961,255,4290.563300609589,results/llm/mamay__bert_attack__reviews__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,bert_attack,ukr_roberta,results/bert_attack/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,1042,0.44979015252328797,0.3450711434128365,0.10471900911045146,0.8353976865595251,0.3360323886639676,247,4286.40843129158,results/llm/mamay__bert_attack__reviews__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,bert_attack,xlmr_base,results/bert_attack/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,959,0.44979015252328797,0.3356535981164909,0.11413655440679704,0.8264919643771113,0.33640552995391704,217,4293.595904588699,results/llm/mamay__bert_attack__reviews__xlmr_base
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,bert_attack,sbert_mpnet,results/bert_attack/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,63,0.6884816753926701,0.6387434554973822,0.04973821989528793,0.9240837696335078,0.13157894736842105,38,238.10966682434082,results/llm/mamay__bert_attack__unlp__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,bert_attack,ukr_roberta,results/bert_attack/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,45,0.6884816753926701,0.6544502617801047,0.03403141361256545,0.9136125654450262,0.17391304347826086,23,236.64266800880432,results/llm/mamay__bert_attack__unlp__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,bert_attack,xlmr_base,results/bert_attack/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,44,0.6884816753926701,0.6544502617801047,0.03403141361256545,0.9293193717277487,0.125,24,236.00609922409058,results/llm/mamay__bert_attack__unlp__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,news,textfooler,sbert_mpnet,results/textfooler/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,61,78,1050,0.6475500553375592,0.6322314049586777,0.015318650378881471,0.9280016156720186,0.1013745704467354,582,3628.013813972473,results/llm/lapa-v0_1_2-instruct__textfooler__news__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,news,textfooler,ukr_roberta,results/textfooler/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,61,82,801,0.6475500553375592,0.6334946561806816,0.01405539915687759,0.9222222222222223,0.09382151029748284,437,3633.450973033905,results/llm/lapa-v0_1_2-instruct__textfooler__news__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,news,textfooler,xlmr_base,results/textfooler/news__xlmr_base,b63b607e0512,cuda_4bit,10000,61,75,1008,0.6475500553375592,0.6348614609571789,0.01268859438038028,0.9252270433905146,0.11191335740072202,554,3620.9633412361145,results/llm/lapa-v0_1_2-instruct__textfooler__news__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,reviews,textfooler,sbert_mpnet,results/textfooler/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,2726,0.2860067560651039,0.20135121302078002,0.08465554304432388,0.8519807554509161,0.3881856540084388,474,3769.2361674308777,results/llm/lapa-v0_1_2-instruct__textfooler__reviews__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,reviews,textfooler,ukr_roberta,results/textfooler/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,3819,0.2860067560651039,0.22346197154263486,0.06254478452246903,0.8825877776640393,0.42585034013605444,735,3758.0012814998627,results/llm/lapa-v0_1_2-instruct__textfooler__reviews__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,reviews,textfooler,xlmr_base,results/textfooler/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,2639,0.2860067560651039,0.19735899273211177,0.08864776333299212,0.8525949431876344,0.37894736842105264,475,3766.059531211853,results/llm/lapa-v0_1_2-instruct__textfooler__reviews__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,unlp,textfooler,sbert_mpnet,results/textfooler/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,151,0.6099476439790575,0.6204188481675392,-0.010471204188481686,0.9109947643979057,0.08955223880597014,67,179.25736808776855,results/llm/lapa-v0_1_2-instruct__textfooler__unlp__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,unlp,textfooler,ukr_roberta,results/textfooler/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,124,0.6099476439790575,0.612565445026178,-0.002617801047120505,0.9031413612565445,0.09803921568627451,51,179.22771286964417,results/llm/lapa-v0_1_2-instruct__textfooler__unlp__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,unlp,textfooler,xlmr_base,results/textfooler/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,116,0.6099476439790575,0.6256544502617801,-0.015706806282722585,0.9162303664921466,0.0975609756097561,41,178.92569208145142,results/llm/lapa-v0_1_2-instruct__textfooler__unlp__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,news,bert_attack,sbert_mpnet,results/bert_attack/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,61,71,2009,0.6475500553375592,0.599254708429852,0.048295346907707204,0.8641962843295639,0.22727272727272727,1056,3629.536844730377,results/llm/lapa-v0_1_2-instruct__bert_attack__news__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,news,bert_attack,ukr_roberta,results/bert_attack/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,61,67,1403,0.6475500553375592,0.6010268800966475,0.04652317524091165,0.8565946273480105,0.22359396433470508,729,3622.44389462471,results/llm/lapa-v0_1_2-instruct__bert_attack__news__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,news,bert_attack,xlmr_base,results/bert_attack/news__xlmr_base,b63b607e0512,cuda_4bit,10000,61,67,1863,0.6475500553375592,0.6019329507701601,0.04561710456739909,0.8677034942435872,0.22152560083594566,957,3638.1892046928406,results/llm/lapa-v0_1_2-instruct__bert_attack__news__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,reviews,bert_attack,sbert_mpnet,results/bert_attack/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,1117,0.2860067560651039,0.2370764663732214,0.048930289691882484,0.8941549800388986,0.1497584541062802,207,3750.66223692894,results/llm/lapa-v0_1_2-instruct__bert_attack__reviews__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,reviews,bert_attack,ukr_roberta,results/bert_attack/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,1042,0.2860067560651039,0.24280888524925787,0.04319787081584603,0.8992732111782168,0.15425531914893617,188,3759.552037715912,results/llm/lapa-v0_1_2-instruct__bert_attack__reviews__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,reviews,bert_attack,xlmr_base,results/bert_attack/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,959,0.2860067560651039,0.23523390316306683,0.05077285290203706,0.8939502507933258,0.18947368421052632,190,3748.2750923633575,results/llm/lapa-v0_1_2-instruct__bert_attack__reviews__xlmr_base
lapa-llm/lapa-v0.1.2-instruct,unlp,bert_attack,sbert_mpnet,results/bert_attack/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,63,0.6099476439790575,0.6230366492146597,-0.013089005235602191,0.9554973821989529,0.0,35,174.94363713264465,results/llm/lapa-v0_1_2-instruct__bert_attack__unlp__sbert_mpnet
lapa-llm/lapa-v0.1.2-instruct,unlp,bert_attack,ukr_roberta,results/bert_attack/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,45,0.6099476439790575,0.612565445026178,-0.002617801047120505,0.9502617801047121,0.043478260869565216,23,175.72687649726868,results/llm/lapa-v0_1_2-instruct__bert_attack__unlp__ukr_roberta
lapa-llm/lapa-v0.1.2-instruct,unlp,bert_attack,xlmr_base,results/bert_attack/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,44,0.6099476439790575,0.6099476439790575,0.0,0.9476439790575916,0.04,25,177.66482400894165,results/llm/lapa-v0_1_2-instruct__bert_attack__unlp__xlmr_base
google/gemma-3-12b-it,news,textfooler,sbert_mpnet,results/textfooler/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,19,22,1050,0.757940086163711,0.7440368811385047,0.013903205025206256,0.9343094975428743,0.12,650,7114.985985994339,results/llm/gemma-3-12b-it__textfooler__news__sbert_mpnet
google/gemma-3-12b-it,news,textfooler,sbert_mpnet,results/textfooler/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,19,22,1050,0.757940086163711,0.7440368811385047,0.013903205025206256,0.9343094975428743,0.12,650,0.06803059577941895,results/llm/gemma-3-12b-it__textfooler__news__sbert_mpnet
google/gemma-3-12b-it,news,textfooler,ukr_roberta,results/textfooler/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,19,18,801,0.757940086163711,0.7423362051693048,0.015603880994406238,0.928184553660983,0.11827956989247312,465,6798.520012140274,results/llm/gemma-3-12b-it__textfooler__news__ukr_roberta
google/gemma-3-12b-it,news,textfooler,xlmr_base,results/textfooler/news__xlmr_base,b63b607e0512,cuda_4bit,10000,19,19,1008,0.757940086163711,0.7430117222723174,0.014928363891393626,0.9365158960986862,0.12341772151898735,632,7324.512494087219,results/llm/gemma-3-12b-it__textfooler__news__xlmr_base
google/gemma-3-12b-it,reviews,textfooler,sbert_mpnet,results/textfooler/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,2726,0.4067970109530146,0.2774081277510492,0.1293888832019654,0.7846248336574879,0.4374193548387097,775,5721.698130130768,results/llm/gemma-3-12b-it__textfooler__reviews__sbert_mpnet
google/gemma-3-12b-it,reviews,textfooler,ukr_roberta,results/textfooler/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,3819,0.4067970109530146,0.32562186508342716,0.08117514586958746,0.8380591667519706,0.34703557312252964,1265,5702.555863857269,results/llm/gemma-3-12b-it__textfooler__reviews__ukr_roberta
google/gemma-3-12b-it,reviews,textfooler,xlmr_base,results/textfooler/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,2639,0.4067970109530146,0.28058143105742656,0.12621557989558807,0.7845224690347016,0.45548387096774196,775,5695.717366218567,results/llm/gemma-3-12b-it__textfooler__reviews__xlmr_base
google/gemma-3-12b-it,unlp,textfooler,sbert_mpnet,results/textfooler/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,151,0.7931937172774869,0.7408376963350786,0.05235602094240832,0.8848167539267016,0.23214285714285715,112,230.4115355014801,results/llm/gemma-3-12b-it__textfooler__unlp__sbert_mpnet
google/gemma-3-12b-it,unlp,textfooler,ukr_roberta,results/textfooler/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,124,0.7931937172774869,0.7460732984293194,0.04712041884816753,0.8743455497382199,0.25,96,230.08809185028076,results/llm/gemma-3-12b-it__textfooler__unlp__ukr_roberta
google/gemma-3-12b-it,unlp,textfooler,xlmr_base,results/textfooler/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,116,0.7931937172774869,0.6989528795811518,0.09424083769633507,0.8638743455497382,0.35802469135802467,81,229.8710596561432,results/llm/gemma-3-12b-it__textfooler__unlp__xlmr_base
google/gemma-3-12b-it,news,bert_attack,sbert_mpnet,results/bert_attack/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,19,17,2009,0.757940086163711,0.703095261945307,0.054844824218403976,0.873859420435175,0.2686804451510334,1258,7314.29304599762,results/llm/gemma-3-12b-it__bert_attack__news__sbert_mpnet
google/gemma-3-12b-it,news,bert_attack,ukr_roberta,results/bert_attack/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,19,17,1403,0.757940086163711,0.7025944104978463,0.05534567566586468,0.8658243080625753,0.29040097205346294,823,7242.5251252651215,results/llm/gemma-3-12b-it__bert_attack__news__ukr_roberta
google/gemma-3-12b-it,news,bert_attack,xlmr_base,results/bert_attack/news__xlmr_base,b63b607e0512,cuda_4bit,10000,19,13,1863,0.757940086163711,0.6975067587864223,0.06043332737728868,0.8734583375112804,0.31282952548330406,1138,7362.722067117691,results/llm/gemma-3-12b-it__bert_attack__news__xlmr_base
google/gemma-3-12b-it,reviews,bert_attack,sbert_mpnet,results/bert_attack/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,1117,0.4067970109530146,0.292762821169004,0.11403418978401064,0.8176886068174839,0.39655172413793105,290,5727.83861207962,results/llm/gemma-3-12b-it__bert_attack__reviews__sbert_mpnet
google/gemma-3-12b-it,reviews,bert_attack,ukr_roberta,results/bert_attack/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,1042,0.4067970109530146,0.3070938683590951,0.09970314259391955,0.8259801412631794,0.30996309963099633,271,5726.264293670654,results/llm/gemma-3-12b-it__bert_attack__reviews__ukr_roberta
google/gemma-3-12b-it,reviews,bert_attack,xlmr_base,results/bert_attack/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,959,0.4067970109530146,0.2947077490019449,0.11208926195106972,0.8167673252124066,0.3333333333333333,255,5732.294152975082,results/llm/gemma-3-12b-it__bert_attack__reviews__xlmr_base
google/gemma-3-12b-it,unlp,bert_attack,sbert_mpnet,results/bert_attack/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,63,0.7931937172774869,0.7513089005235603,0.041884816753926635,0.9267015706806283,0.13333333333333333,45,230.0159296989441,results/llm/gemma-3-12b-it__bert_attack__unlp__sbert_mpnet
google/gemma-3-12b-it,unlp,bert_attack,ukr_roberta,results/bert_attack/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,45,0.7931937172774869,0.7539267015706806,0.03926701570680624,0.9293193717277487,0.23529411764705882,34,228.94815039634705,results/llm/gemma-3-12b-it__bert_attack__unlp__ukr_roberta
google/gemma-3-12b-it,unlp,bert_attack,xlmr_base,results/bert_attack/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,44,0.7931937172774869,0.7591623036649214,0.03403141361256545,0.9450261780104712,0.09375,32,230.42582249641418,results/llm/gemma-3-12b-it__bert_attack__unlp__xlmr_base
Qwen/Qwen3-14B,news,textfooler,sbert_mpnet,results/textfooler/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,490,568,1050,0.7867507886435331,0.7689779474130619,0.01777284123047118,0.9404264438015644,0.10526315789473684,608,4681.653199911118,results/llm/qwen3-14b__textfooler__news__sbert_mpnet
Qwen/Qwen3-14B,news,textfooler,ukr_roberta,results/textfooler/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,487,582,801,0.7872385157153369,0.7656614992567424,0.021577016458594445,0.9334478316874195,0.12938596491228072,456,4886.177187919617,results/llm/qwen3-14b__textfooler__news__ukr_roberta
Qwen/Qwen3-14B,news,textfooler,xlmr_base,results/textfooler/news__xlmr_base,b63b607e0512,cuda_4bit,10000,492,547,1008,0.7871266302061422,0.7672696498466095,0.01985698035953265,0.9372926698769395,0.13851351351351351,592,4880.051869869232,results/llm/qwen3-14b__textfooler__news__xlmr_base
Qwen/Qwen3-14B,reviews,textfooler,sbert_mpnet,results/textfooler/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,2726,0.4147814515303511,0.27413245982188555,0.14064899170846556,0.73753710717576,0.5033200531208499,753,5384.376211166382,results/llm/qwen3-14b__textfooler__reviews__sbert_mpnet
Qwen/Qwen3-14B,reviews,textfooler,ukr_roberta,results/textfooler/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,3819,0.4150885453987102,0.32715733442522266,0.08793121097348755,0.8060190398198382,0.3510948905109489,1370,5384.490335702896,results/llm/qwen3-14b__textfooler__reviews__ukr_roberta
Qwen/Qwen3-14B,reviews,textfooler,xlmr_base,results/textfooler/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,2639,0.4147814515303511,0.2774081277510492,0.1373733237793019,0.7366158255706827,0.49236641221374045,786,5387.201189279556,results/llm/qwen3-14b__textfooler__reviews__xlmr_base
Qwen/Qwen3-14B,unlp,textfooler,sbert_mpnet,results/textfooler/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,151,0.6910994764397905,0.6649214659685864,0.02617801047120416,0.837696335078534,0.2621359223300971,103,469.69842982292175,results/llm/qwen3-14b__textfooler__unlp__sbert_mpnet
Qwen/Qwen3-14B,unlp,textfooler,ukr_roberta,results/textfooler/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,124,0.6884816753926701,0.6701570680628273,0.018324607329842868,0.8089005235602095,0.30851063829787234,94,470.38118863105774,results/llm/qwen3-14b__textfooler__unlp__ukr_roberta
Qwen/Qwen3-14B,unlp,textfooler,xlmr_base,results/textfooler/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,116,0.6910994764397905,0.6465968586387435,0.04450261780104703,0.8141361256544503,0.2857142857142857,84,468.8000376224518,results/llm/qwen3-14b__textfooler__unlp__xlmr_base
Qwen/Qwen3-14B,news,bert_attack,sbert_mpnet,results/bert_attack/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,484,434,2009,0.787410676754939,0.7161823123562617,0.0712283643986773,0.8703585147247119,0.3090128755364807,1165,4862.865430593491,results/llm/qwen3-14b__bert_attack__news__sbert_mpnet
Qwen/Qwen3-14B,news,bert_attack,ukr_roberta,results/bert_attack/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,486,453,1403,0.7874710952280849,0.7147795118885514,0.07269158333953352,0.8669734589041096,0.31736526946107785,835,4859.421605348587,results/llm/qwen3-14b__bert_attack__news__ukr_roberta
Qwen/Qwen3-14B,news,bert_attack,xlmr_base,results/bert_attack/news__xlmr_base,b63b607e0512,cuda_4bit,10000,485,453,1863,0.7874934314240672,0.7150937467267204,0.07239968469734681,0.8736357800128397,0.33365477338476374,1037,4881.030013799667,results/llm/qwen3-14b__bert_attack__news__xlmr_base
Qwen/Qwen3-14B,reviews,bert_attack,sbert_mpnet,results/bert_attack/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,1117,0.4147814515303511,0.301463814105845,0.11331763742450612,0.8019244549083837,0.5045454545454545,220,5343.634655237198,results/llm/qwen3-14b__bert_attack__reviews__sbert_mpnet
Qwen/Qwen3-14B,reviews,bert_attack,ukr_roberta,results/bert_attack/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,1042,0.4150885453987102,0.3151806735592179,0.09990787183949229,0.8111372709591566,0.3557692307692308,208,5347.446125507355,results/llm/qwen3-14b__bert_attack__reviews__ukr_roberta
Qwen/Qwen3-14B,reviews,bert_attack,xlmr_base,results/bert_attack/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,959,0.4146790869075647,0.303408741938786,0.11127034496877874,0.8015149964172382,0.4574468085106383,188,5352.28416967392,results/llm/qwen3-14b__bert_attack__reviews__xlmr_base
Qwen/Qwen3-14B,unlp,bert_attack,sbert_mpnet,results/bert_attack/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,63,0.6910994764397905,0.6413612565445026,0.04973821989528793,0.9136125654450262,0.2222222222222222,45,462.9428277015686,results/llm/qwen3-14b__bert_attack__unlp__sbert_mpnet
Qwen/Qwen3-14B,unlp,bert_attack,ukr_roberta,results/bert_attack/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,45,0.6910994764397905,0.6465968586387435,0.04450261780104703,0.9240837696335078,0.12121212121212122,33,462.10018277168274,results/llm/qwen3-14b__bert_attack__unlp__ukr_roberta
Qwen/Qwen3-14B,unlp,bert_attack,xlmr_base,results/bert_attack/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,44,0.6910994764397905,0.6492146596858639,0.041884816753926635,0.9267015706806283,0.13793103448275862,29,463.8876357078552,results/llm/qwen3-14b__bert_attack__unlp__xlmr_base
